RESULT,SCORE,PATH
FAILURE,5,"left,left,left,right,left,middle"
FAILURE,5,"left,left,left,right,left,right"
FAILURE,4,"left,left,left,right,middle,left"
FAILURE,4,"left,left,left,right,middle,middle"
FAILURE,4,"left,left,left,right,middle,right"
FAILURE,4,"left,left,left,right,right,left"
FAILURE,4,"left,left,left,right,right,middle"
FAILURE,4,"left,left,left,right,right,right"
FAILURE,2,"left,left,middle,left,left,left"
FAILURE,2,"left,left,middle,left,left,middle"
FAILURE,2,"left,left,middle,left,left,right"
FAILURE,2,"left,left,middle,left,middle,left"
FAILURE,2,"left,left,middle,left,middle,middle"
FAILURE,2,"left,left,middle,left,middle,right"
FAILURE,2,"left,left,middle,left,right,left"
FAILURE,2,"left,left,middle,left,right,middle"
FAILURE,2,"left,left,middle,left,right,right"
FAILURE,2,"left,left,middle,middle,left,left"
FAILURE,2,"left,left,middle,middle,left,middle"
FAILURE,2,"left,left,middle,middle,left,right"
FAILURE,2,"left,left,middle,middle,middle,left"
FAILURE,2,"left,left,middle,middle,middle,middle"
FAILURE,2,"left,left,middle,middle,middle,right"
FAILURE,2,"left,left,middle,middle,right,left"
FAILURE,2,"left,left,middle,middle,right,middle"
FAILURE,2,"left,left,middle,middle,right,right"
FAILURE,2,"left,left,middle,right,left,left"
FAILURE,2,"left,left,middle,right,left,middle"
FAILURE,2,"left,left,middle,right,left,right"
FAILURE,2,"left,left,middle,right,middle,left"
FAILURE,2,"left,left,middle,right,middle,middle"
FAILURE,2,"left,left,middle,right,middle,right"
FAILURE,2,"left,left,middle,right,right,left"
FAILURE,2,"left,left,middle,right,right,middle"
FAILURE,2,"left,left,middle,right,right,right"
FAILURE,2,"left,left,right,left,left,left"
FAILURE,2,"left,left,right,left,left,middle"
FAILURE,2,"left,left,right,left,left,right"
FAILURE,2,"left,left,right,left,middle,left"
FAILURE,2,"left,left,right,left,middle,middle"
FAILURE,2,"left,left,right,left,middle,right"
FAILURE,2,"left,left,right,left,right,left"
FAILURE,2,"left,left,right,left,right,middle"
FAILURE,2,"left,left,right,left,right,right"
FAILURE,2,"left,left,right,middle,left,left"
FAILURE,2,"left,left,right,middle,left,middle"
FAILURE,2,"left,left,right,middle,left,right"
FAILURE,2,"left,left,right,middle,middle,left"
FAILURE,2,"left,left,right,middle,middle,middle"
FAILURE,2,"left,left,right,middle,middle,right"
FAILURE,2,"left,left,right,middle,right,left"
FAILURE,2,"left,left,right,middle,right,middle"
FAILURE,2,"left,left,right,middle,right,right"
FAILURE,2,"left,left,right,right,left,left"
FAILURE,2,"left,left,right,right,left,middle"
FAILURE,2,"left,left,right,right,left,right"
FAILURE,2,"left,left,right,right,middle,left"
FAILURE,2,"left,left,right,right,middle,middle"
FAILURE,2,"left,left,right,right,middle,right"
FAILURE,2,"left,left,right,right,right,left"
FAILURE,2,"left,left,right,right,right,middle"
FAILURE,2,"left,left,right,right,right,right"
FAILURE,1,"left,middle,left,left,left,left"
FAILURE,1,"left,middle,left,left,left,middle"
